Season,Half,Conference,Division,Team_ID,Team_Name,Playoffs,GP,W,L,OL,T,PTS,PTS_Pct,GF,GA,SRS,SOS,RPt_Pct,ROW,RW,RgRec,RgPt_Pct
1976,NA,Clarence Campbell,Smythe,CBH,Chicago Black Hawks,TRUE,80,32,30,NA,18,82,0.513,254,261,-0.15,-0.06,NA,NA,NA,NA,NA
1976,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,33,32,NA,15,81,0.506,271,272,-0.08,-0.07,NA,NA,NA,NA,NA
1976,NA,Clarence Campbell,Smythe,STL,St. Louis Blues,TRUE,80,29,37,NA,14,72,0.45,249,290,-0.54,-0.03,NA,NA,NA,NA,NA
1976,NA,Clarence Campbell,Smythe,MNS,Minnesota North Stars,FALSE,80,20,53,NA,7,47,0.294,195,303,-1.32,0.03,NA,NA,NA,NA,NA
1976,NA,Clarence Campbell,Smythe,KCS,Kansas City Scouts,FALSE,80,12,56,NA,12,36,0.225,190,351,-1.94,0.07,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,48,15,NA,17,113,0.706,313,237,0.93,-0.02,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,46,21,NA,13,105,0.656,339,240,1.19,-0.05,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Adams,TOR,Toronto Maple Leafs,TRUE,80,34,31,NA,15,83,0.519,294,276,0.27,0.04,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Adams,CGS,California Golden Seals,FALSE,80,27,42,NA,11,65,0.406,250,278,-0.26,0.09,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Norris,MTL,Montreal Canadiens,TRUE,80,58,11,NA,11,127,0.794,337,174,1.91,-0.13,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Norris,LAK,Los Angeles Kings,TRUE,80,38,33,NA,9,85,0.531,263,265,-0.01,0.02,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Norris,PIT,Pittsburgh Penguins,TRUE,80,35,33,NA,12,82,0.513,339,303,0.43,-0.02,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Norris,DET,Detroit Red Wings,FALSE,80,26,44,NA,10,62,0.388,226,300,-0.85,0.08,NA,NA,NA,NA,NA
1976,NA,Prince of Wales,Norris,WSH,Washington Capitals,FALSE,80,11,59,NA,10,32,0.2,224,394,-1.96,0.16,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Patrick,PHI,Philadelphia Flyers,TRUE,80,48,16,NA,16,112,0.7,323,213,1.27,-0.1,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Patrick,NYI,New York Islanders,TRUE,80,47,21,NA,12,106,0.663,288,193,1.12,-0.07,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Patrick,ATF,Atlanta Flames,TRUE,80,34,34,NA,12,80,0.5,264,265,-0.01,0,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Patrick,NYR,New York Rangers,FALSE,80,29,37,NA,14,72,0.45,272,310,-0.43,0.04,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Smythe,STL,St. Louis Blues,TRUE,80,32,39,NA,9,73,0.456,239,276,-0.5,-0.04,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Smythe,MNS,Minnesota North Stars,TRUE,80,23,39,NA,18,64,0.4,240,310,-0.88,-0.01,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Smythe,CBH,Chicago Black Hawks,TRUE,80,26,43,NA,11,63,0.394,240,298,-0.74,-0.02,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,FALSE,80,25,42,NA,13,63,0.394,235,294,-0.75,-0.02,NA,NA,NA,NA,NA
1977,NA,Clarence Campbell,Smythe,CLR,Colorado Rockies,FALSE,80,20,46,NA,14,54,0.338,226,307,-1.01,0,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,49,23,NA,8,106,0.663,312,240,0.87,-0.03,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,48,24,NA,8,104,0.65,301,220,1,-0.02,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Adams,TOR,Toronto Maple Leafs,TRUE,80,33,32,NA,15,81,0.506,301,285,0.23,0.03,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Adams,CLE,Cleveland Barons,FALSE,80,25,42,NA,13,63,0.394,240,292,-0.55,0.1,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Norris,MTL,Montreal Canadiens,TRUE,80,60,8,NA,12,132,0.825,387,171,2.54,-0.16,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Norris,LAK,Los Angeles Kings,TRUE,80,34,31,NA,15,83,0.519,271,241,0.38,0,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Norris,PIT,Pittsburgh Penguins,TRUE,80,34,33,NA,13,81,0.506,240,252,-0.11,0.04,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Norris,WSH,Washington Capitals,FALSE,80,24,42,NA,14,62,0.388,221,307,-0.97,0.1,NA,NA,NA,NA,NA
1977,NA,Prince of Wales,Norris,DET,Detroit Red Wings,FALSE,80,16,55,NA,9,41,0.256,183,309,-1.44,0.14,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Patrick,NYI,New York Islanders,TRUE,80,48,17,NA,15,111,0.694,334,210,1.47,-0.08,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Patrick,PHI,Philadelphia Flyers,TRUE,80,45,20,NA,15,105,0.656,296,200,1.12,-0.08,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Patrick,ATF,Atlanta Flames,TRUE,80,34,27,NA,19,87,0.544,274,252,0.28,0,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Patrick,NYR,New York Rangers,TRUE,80,30,37,NA,13,73,0.456,279,280,0.02,0.04,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Smythe,CBH,Chicago Black Hawks,TRUE,80,32,29,NA,19,83,0.519,230,220,0.05,-0.07,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Smythe,CLR,Colorado Rockies,TRUE,80,19,40,NA,21,59,0.369,257,305,-0.62,-0.02,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,FALSE,80,20,43,NA,17,57,0.356,239,320,-1.01,0.01,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Smythe,STL,St. Louis Blues,FALSE,80,20,47,NA,13,53,0.331,195,304,-1.33,0.03,NA,NA,NA,NA,NA
1978,NA,Clarence Campbell,Smythe,MNS,Minnesota North Stars,FALSE,80,18,53,NA,9,45,0.281,218,325,-1.31,0.03,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,51,18,NA,11,113,0.706,333,218,1.37,-0.07,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,44,19,NA,17,105,0.656,288,215,0.9,-0.01,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Adams,TOR,Toronto Maple Leafs,TRUE,80,41,29,NA,10,92,0.575,271,237,0.43,0.01,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Adams,CLE,Cleveland Barons,FALSE,80,22,45,NA,13,57,0.356,230,325,-1.06,0.13,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Norris,MTL,Montreal Canadiens,TRUE,80,59,10,NA,11,129,0.806,359,183,2.06,-0.14,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Norris,DET,Detroit Red Wings,TRUE,80,32,34,NA,14,78,0.488,252,266,-0.15,0.02,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Norris,LAK,Los Angeles Kings,TRUE,80,31,34,NA,15,77,0.481,243,245,-0.01,0.01,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Norris,PIT,Pittsburgh Penguins,FALSE,80,25,37,NA,18,68,0.425,254,321,-0.77,0.07,NA,NA,NA,NA,NA
1978,NA,Prince of Wales,Norris,WSH,Washington Capitals,FALSE,80,17,49,NA,14,48,0.3,195,321,-1.45,0.12,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Patrick,NYI,New York Islanders,TRUE,80,51,15,NA,14,116,0.725,358,214,1.76,-0.04,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Patrick,PHI,Philadelphia Flyers,TRUE,80,40,25,NA,15,95,0.594,281,248,0.52,0.11,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Patrick,NYR,New York Rangers,TRUE,80,40,29,NA,11,91,0.569,316,292,0.4,0.1,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Patrick,ATF,Atlanta Flames,TRUE,80,41,31,NA,8,90,0.563,327,280,0.67,0.08,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Smythe,CBH,Chicago Black Hawks,TRUE,80,29,36,NA,15,73,0.456,244,277,-0.54,-0.13,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,25,42,NA,13,63,0.394,217,291,-1.05,-0.12,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Smythe,STL,St. Louis Blues,FALSE,80,18,50,NA,12,48,0.3,249,348,-1.29,-0.05,NA,NA,NA,NA,NA
1979,NA,Clarence Campbell,Smythe,CLR,Colorado Rockies,FALSE,80,15,53,NA,12,42,0.263,210,331,-1.56,-0.05,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,43,23,NA,14,100,0.625,316,270,0.57,0,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,36,28,NA,16,88,0.55,280,263,0.22,0,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Adams,TOR,Toronto Maple Leafs,TRUE,80,34,33,NA,13,81,0.506,267,252,0.2,0.02,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Adams,MNS,Minnesota North Stars,FALSE,80,28,40,NA,12,68,0.425,257,289,-0.4,0,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Norris,MTL,Montreal Canadiens,TRUE,80,52,17,NA,11,115,0.719,337,204,1.53,-0.13,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Norris,PIT,Pittsburgh Penguins,TRUE,80,36,31,NA,13,85,0.531,281,279,0.05,0.02,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Norris,LAK,Los Angeles Kings,TRUE,80,34,34,NA,12,80,0.5,292,286,0.09,0.02,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Norris,WSH,Washington Capitals,FALSE,80,24,41,NA,15,63,0.394,273,338,-0.72,0.1,NA,NA,NA,NA,NA
1979,NA,Prince of Wales,Norris,DET,Detroit Red Wings,FALSE,80,23,41,NA,16,62,0.388,252,295,-0.47,0.07,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Patrick,PHI,Philadelphia Flyers,TRUE,80,48,12,NA,20,116,0.725,327,254,0.87,-0.04,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Patrick,NYI,New York Islanders,TRUE,80,39,28,NA,13,91,0.569,281,247,0.41,-0.02,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Patrick,NYR,New York Rangers,TRUE,80,38,32,NA,10,86,0.538,308,284,0.29,-0.01,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Patrick,ATF,Atlanta Flames,TRUE,80,35,32,NA,13,83,0.519,282,269,0.16,-0.01,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Patrick,WSH,Washington Capitals,FALSE,80,27,40,NA,13,67,0.419,261,293,-0.38,0.02,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Smythe,CBH,Chicago Black Hawks,TRUE,80,34,27,NA,19,87,0.544,241,250,-0.11,0.01,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Smythe,STL,St. Louis Blues,TRUE,80,34,34,NA,12,80,0.5,266,278,-0.14,0.01,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,27,37,NA,16,70,0.438,256,281,-0.3,0.02,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Smythe,EDM,Edmonton Oilers,TRUE,80,28,39,NA,13,69,0.431,301,322,-0.25,0.01,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Smythe,WIN,Winnipeg Jets,FALSE,80,20,49,NA,11,51,0.319,214,314,-1.19,0.06,NA,NA,NA,NA,NA
1980,NA,Clarence Campbell,Smythe,CLR,Colorado Rockies,FALSE,80,19,48,NA,13,51,0.319,234,308,-0.88,0.04,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,47,17,NA,16,110,0.688,318,201,1.39,-0.07,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,46,21,NA,13,105,0.656,310,234,0.91,-0.05,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Adams,MNS,Minnesota North Stars,TRUE,80,36,28,NA,16,88,0.55,311,253,0.69,-0.04,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Adams,TOR,Toronto Maple Leafs,TRUE,80,35,40,NA,5,75,0.469,304,327,-0.27,0.01,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Adams,QUE,Quebec Nordiques,FALSE,80,25,44,NA,11,61,0.381,248,313,-0.77,0.04,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Norris,MTL,Montreal Canadiens,TRUE,80,47,20,NA,13,107,0.669,328,240,1.05,-0.05,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Norris,LAK,Los Angeles Kings,TRUE,80,30,36,NA,14,74,0.463,290,313,-0.27,0.01,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Norris,PIT,Pittsburgh Penguins,TRUE,80,30,37,NA,13,73,0.456,251,303,-0.62,0.03,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Norris,HAR,Hartford Whalers,TRUE,80,27,34,NA,19,73,0.456,303,312,-0.11,0.01,NA,NA,NA,NA,NA
1980,NA,Prince of Wales,Norris,DET,Detroit Red Wings,FALSE,80,26,43,NA,11,63,0.394,268,306,-0.45,0.02,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Patrick,NYI,New York Islanders,TRUE,80,48,18,NA,14,110,0.688,355,260,1.13,-0.06,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Patrick,PHI,Philadelphia Flyers,TRUE,80,41,24,NA,15,97,0.606,313,249,0.76,-0.04,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Patrick,CGY,Calgary Flames,TRUE,80,39,27,NA,14,92,0.575,329,298,0.37,-0.02,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Patrick,NYR,New York Rangers,TRUE,80,30,36,NA,14,74,0.463,312,317,-0.06,0,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Patrick,WSH,Washington Capitals,FALSE,80,26,36,NA,18,70,0.438,286,317,-0.37,0.02,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Smythe,STL,St. Louis Blues,TRUE,80,45,18,NA,17,107,0.669,352,281,0.85,-0.04,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Smythe,CBH,Chicago Black Hawks,TRUE,80,31,33,NA,16,78,0.488,304,315,-0.13,0.01,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,28,32,NA,20,76,0.475,289,301,-0.14,0.01,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Smythe,EDM,Edmonton Oilers,TRUE,80,29,35,NA,16,74,0.463,328,327,0.01,0,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Smythe,CLR,Colorado Rockies,FALSE,80,22,45,NA,13,57,0.356,258,344,-1.02,0.05,NA,NA,NA,NA,NA
1981,NA,Clarence Campbell,Smythe,WIN,Winnipeg Jets,FALSE,80,9,57,NA,14,32,0.2,246,400,-1.83,0.09,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,39,20,NA,21,99,0.619,327,250,0.92,-0.05,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,37,30,NA,13,87,0.544,316,272,0.52,-0.03,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Adams,MNS,Minnesota North Stars,TRUE,80,35,28,NA,17,87,0.544,291,263,0.33,-0.02,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Adams,QUE,Quebec Nordiques,TRUE,80,30,32,NA,18,78,0.488,314,318,-0.05,0,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Adams,TOR,Toronto Maple Leafs,TRUE,80,28,37,NA,15,71,0.444,322,367,-0.54,0.03,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Norris,MTL,Montreal Canadiens,TRUE,80,45,22,NA,13,103,0.644,332,232,1.19,-0.06,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Norris,LAK,Los Angeles Kings,TRUE,80,43,24,NA,13,99,0.619,337,290,0.56,-0.03,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Norris,PIT,Pittsburgh Penguins,TRUE,80,30,37,NA,13,73,0.456,302,345,-0.51,0.03,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Norris,HAR,Hartford Whalers,FALSE,80,21,41,NA,18,60,0.375,292,372,-0.95,0.05,NA,NA,NA,NA,NA
1981,NA,Prince of Wales,Norris,DET,Detroit Red Wings,FALSE,80,19,43,NA,18,56,0.35,252,339,-1.04,0.05,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Norris,MNS,Minnesota North Stars,TRUE,80,37,23,NA,20,94,0.588,346,288,0.53,-0.19,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Norris,WIN,Winnipeg Jets,TRUE,80,33,33,NA,14,80,0.5,319,332,-0.28,-0.12,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Norris,STL,St. Louis Blues,TRUE,80,32,40,NA,8,72,0.45,315,349,-0.52,-0.1,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Norris,CBH,Chicago Black Hawks,TRUE,80,30,38,NA,12,72,0.45,332,363,-0.49,-0.1,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Norris,TOR,Toronto Maple Leafs,FALSE,80,20,44,NA,16,56,0.35,298,380,-1.08,-0.05,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Norris,DET,Detroit Red Wings,FALSE,80,21,47,NA,12,54,0.338,270,351,-1.07,-0.05,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Smythe,EDM,Edmonton Oilers,TRUE,80,48,17,NA,15,111,0.694,417,295,1.33,-0.19,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,30,33,NA,17,77,0.481,290,286,-0.01,-0.06,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Smythe,CGY,Calgary Flames,TRUE,80,29,34,NA,17,75,0.469,334,345,-0.18,-0.04,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Smythe,LAK,Los Angeles Kings,TRUE,80,24,41,NA,15,63,0.394,314,369,-0.68,0.01,NA,NA,NA,NA,NA
1982,NA,Clarence Campbell,Smythe,CLR,Colorado Rockies,FALSE,80,18,49,NA,13,49,0.306,241,362,-1.43,0.08,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Adams,MTL,Montreal Canadiens,TRUE,80,46,17,NA,17,109,0.681,360,223,1.68,-0.04,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,43,27,NA,10,96,0.6,323,285,0.55,0.08,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,39,26,NA,15,93,0.581,307,273,0.51,0.08,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Adams,QUE,Quebec Nordiques,TRUE,80,33,31,NA,16,82,0.513,356,345,0.25,0.11,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Adams,HAR,Hartford Whalers,FALSE,80,21,41,NA,18,60,0.375,264,351,-0.87,0.22,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Patrick,NYI,New York Islanders,TRUE,80,54,16,NA,10,118,0.738,385,250,1.63,-0.05,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Patrick,NYR,New York Rangers,TRUE,80,39,27,NA,14,92,0.575,316,306,0.21,0.09,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Patrick,PHI,Philadelphia Flyers,TRUE,80,38,31,NA,11,87,0.544,325,313,0.24,0.09,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Patrick,PIT,Pittsburgh Penguins,TRUE,80,31,36,NA,13,75,0.469,310,337,-0.21,0.13,NA,NA,NA,NA,NA
1982,NA,Prince of Wales,Patrick,WSH,Washington Capitals,FALSE,80,26,41,NA,13,65,0.406,319,338,-0.12,0.12,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Norris,CBH,Chicago Black Hawks,TRUE,80,47,23,NA,10,104,0.65,338,268,0.75,-0.12,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Norris,MNS,Minnesota North Stars,TRUE,80,40,24,NA,16,96,0.6,321,290,0.31,-0.08,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Norris,TOR,Toronto Maple Leafs,TRUE,80,28,40,NA,12,68,0.425,293,330,-0.46,0,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Norris,STL,St. Louis Blues,TRUE,80,25,40,NA,15,65,0.406,285,316,-0.4,-0.01,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Norris,DET,Detroit Red Wings,FALSE,80,21,44,NA,15,57,0.356,263,344,-0.96,0.05,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Smythe,EDM,Edmonton Oilers,TRUE,80,47,21,NA,12,106,0.663,424,315,1.26,-0.1,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Smythe,CGY,Calgary Flames,TRUE,80,32,34,NA,14,78,0.488,321,317,0.07,0.02,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,30,35,NA,15,75,0.469,303,309,-0.04,0.03,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Smythe,WIN,Winnipeg Jets,TRUE,80,33,39,NA,8,74,0.463,311,333,-0.23,0.05,NA,NA,NA,NA,NA
1983,NA,Clarence Campbell,Smythe,LAK,Los Angeles Kings,FALSE,80,27,41,NA,12,66,0.413,308,365,-0.62,0.09,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,50,20,NA,10,110,0.688,327,228,1.18,-0.06,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Adams,MTL,Montreal Canadiens,TRUE,80,42,24,NA,14,98,0.613,350,286,0.78,-0.02,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,38,29,NA,13,89,0.556,318,285,0.43,0.02,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Adams,QUE,Quebec Nordiques,TRUE,80,34,34,NA,12,80,0.5,343,336,0.14,0.05,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Adams,HAR,Hartford Whalers,FALSE,80,19,54,NA,7,45,0.281,261,403,-1.56,0.22,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Patrick,PHI,Philadelphia Flyers,TRUE,80,49,23,NA,8,106,0.663,326,240,0.96,-0.12,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Patrick,NYI,New York Islanders,TRUE,80,42,26,NA,12,96,0.6,302,226,0.84,-0.11,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Patrick,WSH,Washington Capitals,TRUE,80,39,25,NA,16,94,0.588,306,283,0.23,-0.05,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Patrick,NYR,New York Rangers,TRUE,80,35,35,NA,10,80,0.5,306,287,0.19,-0.05,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Patrick,NJD,New Jersey Devils,FALSE,80,17,49,NA,14,48,0.3,230,338,-1.27,0.08,NA,NA,NA,NA,NA
1983,NA,Prince of Wales,Patrick,PIT,Pittsburgh Penguins,FALSE,80,18,53,NA,9,45,0.281,257,394,-1.61,0.11,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Norris,MNS,Minnesota North Stars,TRUE,80,39,31,NA,10,88,0.55,345,344,-0.14,-0.15,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Norris,STL,St. Louis Blues,TRUE,80,32,41,NA,7,71,0.444,293,316,-0.41,-0.12,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Norris,DET,Detroit Red Wings,TRUE,80,31,42,NA,7,69,0.431,298,323,-0.43,-0.12,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Norris,CBH,Chicago Black Hawks,TRUE,80,30,42,NA,8,68,0.425,277,311,-0.54,-0.11,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Norris,TOR,Toronto Maple Leafs,FALSE,80,26,45,NA,9,61,0.381,303,387,-1.1,-0.05,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Smythe,EDM,Edmonton Oilers,TRUE,80,57,18,NA,5,119,0.744,446,314,1.51,-0.15,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Smythe,CGY,Calgary Flames,TRUE,80,34,32,NA,14,82,0.513,311,314,-0.03,0.01,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Smythe,VAN,Vancouver Canucks,TRUE,80,32,39,NA,9,73,0.456,306,328,-0.25,0.03,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Smythe,WIN,Winnipeg Jets,TRUE,80,31,38,NA,11,73,0.456,340,374,-0.38,0.04,NA,NA,NA,NA,NA
1984,NA,Clarence Campbell,Smythe,LAK,Los Angeles Kings,FALSE,80,23,44,NA,13,59,0.369,309,376,-0.76,0.08,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Adams,BOS,Boston Bruins,TRUE,80,49,25,NA,6,104,0.65,336,261,1.01,0.07,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Adams,BUF,Buffalo Sabres,TRUE,80,48,25,NA,7,103,0.644,315,257,0.82,0.09,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Adams,QUE,Quebec Nordiques,TRUE,80,42,28,NA,10,94,0.588,360,278,1.09,0.06,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Adams,MTL,Montreal Canadiens,TRUE,80,35,40,NA,5,75,0.469,286,295,0.06,0.17,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Adams,HAR,Hartford Whalers,FALSE,80,28,42,NA,10,66,0.413,288,320,-0.21,0.19,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Patrick,NYI,New York Islanders,TRUE,80,50,26,NA,4,104,0.65,357,269,1,-0.1,NA,NA,NA,NA,NA
1984,NA,Prince of Wales,Patrick,WSH,Washington Capitals,TRUE,80,48,27,NA,5,101,0.631,308,226,0.93,-0.09,NA,NA,NA,NA,NA
